,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,doctor strange in the multiverse of madness,7,10,8,20
1,1,jurassic world dominion,7,10,6,1
2,2,the princess,7,11,8,20
3,3,everything everywhere all at once,7,10,16,25
4,4,the man from toronto,7,10,12,28
5,5,independence day,7,10,6,1
6,6,spiderhead,7,2,11,44
7,7,lightyear,5,13,10,17
8,8,rocketry: the nambi effect,7,15,11,31
9,9,the batman,7,2,11,44
10,10,the northman,7,10,11,47
11,11,the unbearable weight of massive talent,7,3,3,59
12,12,thor: ragnarok,7,10,16,25
13,13,spider-man: no way home,7,10,8,20
14,14,fantastic beasts: the secrets of dumbledore,7,10,8,20
15,15,the woman king,7,11,5,74
16,16,the lost city,7,10,16,25
17,17,no time to die,7,10,12,28
18,18,morbius,7,10,2,48
19,19,major,7,15,11,31
20,20,jurassic park,7,10,6,1
21,21,avatar: the way of water,7,10,6,1
22,22,thor,7,10,8,20
23,23,dune: part one,7,10,11,47
24,24,avengers: endgame,7,10,11,47
25,25,eternals,7,10,8,20
26,26,hellboy,7,10,8,20
27,27,wild card,7,2,11,44
28,28,ambulance,7,2,11,44
29,29,star wars,7,10,8,20
30,30,sonic the hedgehog 2,7,10,16,25
31,31,inception,7,10,6,1
32,32,the dark knight,7,2,11,44
33,33,free guy,7,10,16,25
34,34,thor: the dark world,7,10,8,20
35,35,dc league of super-pets,5,13,10,17
36,36,independence day: resurgence,7,10,6,1
37,37,interceptor,7,10,11,47
38,38,jurassic world,7,10,6,1
39,39,jurassic world: fallen kingdom,7,10,6,1
40,40,black adam,7,8,6,90
41,41,black panther: wakanda forever,7,10,11,47
42,42,star wars: episode i - the phantom menace,7,10,8,20
43,43,thief,7,2,11,44
44,44,avatar,7,10,8,20
45,45,doctor strange,7,10,8,20
46,46,avengers: infinity war,7,10,6,1
47,47,star wars: episode ix - the rise of skywalker,7,10,8,20
48,48,pirates of the caribbean: the curse of the black pearl,7,10,8,20
49,49,the gentlemen,7,3,3,59
50,50,expend4bles,7,10,12,28
51,51,the lord of the rings: the fellowship of the ring,7,10,11,47
52,52,moonfall,7,10,6,1
53,53,american made,7,3,3,59
54,54,the adam project,7,10,16,25
55,55,final score,7,11,12,72
56,56,black widow,7,10,6,1
57,57,enola holmes,7,10,3,22
58,58,the suicide squad,7,10,16,25
59,59,guardians of the galaxy,7,10,16,25
60,60,samrat prithviraj,7,11,5,74
61,61,spree,7,3,3,59
62,62,heat,7,2,11,44
63,63,the king's man,7,10,12,28
64,64,blasted,7,3,6,87
65,65,resident evil: welcome to raccoon city,7,1,6,35
66,66,overlord,7,1,6,35
67,67,the mortal instruments: city of bones,7,10,8,20
68,68,star wars: episode iii - revenge of the sith,7,10,8,20
69,69,shang-chi and the legend of the ten rings,7,10,8,20
70,70,star wars: episode vi - return of the jedi,7,10,8,20
71,71,léon,7,2,11,44
72,72,blade runner 2049,7,11,4,51
73,73,suicide squad,7,10,8,20
74,74,captain america: the first avenger,7,10,6,1
75,75,doragon boru supa supa hiro,5,13,10,17
76,76,anek,7,11,12,72
77,77,john wick,7,2,12,0
78,78,tenet,7,6,12,71
79,79,paws of fury: the legend of hank,5,13,16,61
80,80,gladiator,7,10,11,47
81,81,the patriot,7,11,5,74
82,82,rollerball,7,6,1,57
83,83,wrath of man,7,2,12,0
84,84,the hunger games,7,10,6,1
85,85,shazam! fury of the gods,7,10,16,25
86,86,the last duel,7,11,5,74
87,87,divergent,7,10,4,98
88,88,spider-man,7,10,6,1
89,89,mad max: fury road,7,10,6,1
90,90,oldeuboi,7,11,4,51
91,91,nobody,7,2,11,44
92,92,spider-man: homecoming,7,10,6,1
93,93,deadpool,7,10,16,25
94,94,1917,7,11,14,82
95,95,aliens,7,10,6,1
96,96,star wars: episode ii - attack of the clones,7,10,8,20
97,97,wanted,7,2,12,0
98,98,blade runner,7,11,6,96
99,99,mission: impossible - dead reckoning - part one,7,10,12,28
100,100,red notice,7,3,12,85
101,101,underworld,7,8,12,86
102,102,mission: impossible,7,10,12,28
103,103,black panther,7,10,6,1
104,104,natural born killers,7,2,11,44
105,105,rogue one,7,10,6,1
106,106,the avengers,7,10,6,1
107,107,for your eyes only,7,10,12,28
108,108,john wick: chapter 4,7,2,12,0
109,109,the empire strikes back,7,10,8,20
110,110,ghostbusters,7,3,8,64
111,111,jack reacher,7,4,12,23
112,112,prey,7,11,2,97
113,113,pirates of the caribbean: dead men tell no tales,7,10,8,20
114,114,star wars: episode viii - the last jedi,7,10,8,20
115,115,fantastic four,7,10,6,1
116,116,captain marvel,7,10,6,1
117,117,venom: let there be carnage,7,10,6,1
118,118,star wars: episode vii - the force awakens,7,10,6,1
119,119,mission: impossible - fallout,7,10,12,28
120,120,f9,7,2,12,0
121,121,collateral,7,2,11,44
122,122,the tomorrow war,7,10,11,47
123,123,the lord of the rings: the return of the king,7,10,11,47
124,124,batman begins,7,2,11,44
125,125,edge of tomorrow,7,10,6,1
126,126,dunkirk,7,11,5,74
127,127,big hero 6,5,13,10,17
128,128,lone survivor,7,15,11,31
129,129,watchmen,7,11,4,51
130,130,iron man,7,10,6,1
131,131,spider-man: into the spider-verse,5,13,10,17
132,132,oblivion,7,10,6,1
133,133,guardians of the galaxy vol. 2,7,10,16,25
134,134,deadpool 2,7,10,16,25
135,135,the amazing spider-man,7,10,6,1
136,136,the heat,7,3,3,59
137,137,vampires,7,1,12,46
138,138,casino royale,7,10,12,28
139,139,alita: battle angel,7,10,6,1
140,140,guardians of the galaxy vol. 3,7,10,16,25
141,141,dune,7,10,6,1
142,142,dune: part two,7,10,11,47
143,143,the last castle,7,11,12,72
144,144,jumanji: the next level,7,10,16,25
145,145,the lost world: jurassic park,7,10,6,1
146,146,zack snyder's justice league,7,10,8,20
147,147,pearl harbor,7,11,5,74
148,148,operation fortune: ruse de guerre,7,3,12,85
149,149,the revenant,7,10,11,47
150,150,constantine,7,8,2,81
151,151,sonic the hedgehog,7,10,16,25
152,152,transformers,7,10,6,1
153,153,ready player one,7,10,6,1
154,154,star trek,7,10,6,1
155,155,the fifth element,7,10,6,1
156,156,pirates of the caribbean: on stranger tides,7,10,8,20
157,157,ford v ferrari,7,15,11,31
158,158,godzilla vs. kong,7,6,12,71
159,159,kingsman: the secret service,7,10,16,25
160,160,big trouble in little china,7,10,16,25
161,161,pirates of the caribbean: dead man's chest,7,10,8,20
162,162,point break,7,2,12,0
163,163,solo: a star wars story,7,10,6,1
164,164,spider-man 3,7,10,6,1
165,165,the hunger games: the ballad of songbirds and snakes,7,10,11,47
166,166,sicario,7,2,11,44
167,167,red dawn,7,11,12,72
168,168,the world's end,7,3,6,87
169,169,starship troopers,7,10,6,1
170,170,predator,7,10,2,48
171,171,baby driver,7,2,11,44
172,172,speed,7,10,12,28
173,173,warrior,7,11,1,62
174,174,octopussy,7,10,12,28
175,175,the magnificent seven,7,10,13,28
176,176,spider-man: far from home,7,10,6,1
177,177,the mummy,7,10,8,20
178,178,the lord of the rings: the two towers,7,10,11,47
179,179,kill bill: vol. 1,7,2,11,44
180,180,captain america: the winter soldier,7,10,6,1
181,181,spectre,7,10,12,28
182,182,the flash,7,10,8,20
183,183,avengers: age of ultron,7,10,6,1
184,184,westworld,7,6,12,71
185,185,the marvels,7,10,8,20
186,186,mortal engines,7,10,8,20
187,188,pirates of the caribbean: at world's end,7,10,8,20
188,189,the fugitive,7,2,11,44
189,190,john wick: chapter 3 - parabellum,7,2,12,0
190,191,mission: impossible - ghost protocol,7,10,12,28
191,192,captain america: civil war,7,10,6,1
